source_id,ra,dec,phot_g_mean_mag,bp_rp,astrometric_excess_noise,ruwe,visibility_periods_used
1729382329926079872,314.9914340355332,0.012114089942011819,13.9607315,0.8336029,0.0,0.9970341,14
1729382944105047680,315.07414483594107,0.06570528397519773,12.881617,0.861392,0.09243381,1.0918809,15
1729384082272741248,315.03292574952826,0.11324270801390361,13.729961,0.848506,0.0,0.9992117,15
1729385216143813120,315.14591881268535,0.1504477765815704,13.698709,0.8804016,0.0,1.0459423,16
1729385903338876160,315.01310866784985,0.14593219442637045,12.489506,1.144597,0.019443814,0.89470947,15
1729386139561257088,315.0945060118582,0.16800788495379626,12.897601,0.88823223,0.5795293,4.662055,15
1729386380079425536,315.0704185534775,0.1740372607552987,13.966984,0.8003206,0.17028295,1.5830892,16
1729388102362148352,314.83471208356525,0.1450554350062857,13.447635,0.8495903,0.0,0.9572211,14
1729388171081625856,314.86226461528446,0.15559981550675295,13.937232,0.8888092,0.040677655,1.0855606,15
1729388308520580608,314.91682622268615,0.1561889273810811,12.853069,1.2618284,0.060849424,0.9436695,15
1729389030074800640,315.034493899063,0.18256865609636122,12.412986,1.0001259,0.051378716,0.9444442,16
1729390301385152000,314.9151229333952,0.2240033396144109,13.099166,0.87940216,0.0,0.98112375,16
1729390473183839616,314.94611148993647,0.2513513079879779,13.998025,0.89036083,0.0,0.9728063,15
1729390537607767040,315.01109245312915,0.24631505857785468,13.271375,0.7628441,0.0,1.1079879,16
1729391126017765376,315.1711896868197,0.16424793471735583,12.237371,0.69571304,0.09440596,1.0879554,16
1729392736630481152,315.1917166334066,0.24730094132186403,13.627246,0.8409462,0.8107106,7.708483,16
1729393183307620736,315.16751142914654,0.28291514553169544,13.538184,0.8012285,0.0,1.0087333,15
1729393737358922240,315.2565638207416,0.2792437896954143,13.093422,0.7222843,0.0,0.95723945,16
1729394218395254784,315.3111075075869,0.31206150817238654,13.743616,0.8294153,0.0072218208,1.0383987,16
1729394970013473920,315.25351628117403,0.3189068749645943,13.588252,1.0370846,0.0,1.0204256,16
