source_id,ra,dec,phot_g_mean_mag,bp_rp,astrometric_excess_noise,ruwe,visibility_periods_used
2851858288640,45.132144414036745,0.1378535532444834,12.356248,0.81036854,0.08982005,1.213301,13
3332894779520,45.05816837835962,0.12740200940467927,12.511697,1.2240658,0.06771999,1.142625,16
6223408420864,44.9376489880519,0.18839339947220893,13.932565,1.2127752,0.0,0.9931072,16
12545600306304,45.234476460376314,0.3181518585465403,12.194942,1.0196972,0.09653688,1.2159624,15
14431090271232,45.0612577054433,0.28473124350953555,13.908032,0.8536682,0.0,1.0513577,13
15530601898496,45.20460085858702,0.3271256494969849,12.529439,1.1414356,0.332575,3.002099,16
15637976759168,45.194622238199536,0.34414946992382933,13.135885,0.90786076,0.0,0.97578293,16
17008070647424,45.13834824292331,0.39918482011952244,12.748305,0.8342743,0.08431798,1.163282,16
17149805245440,45.172877013315556,0.4036005073884775,12.165601,0.9018049,0.08480464,1.201986,16
21788369897344,44.8728599024172,0.33208526720942777,12.96874,0.94231606,0.045171384,0.9092995,13
24434069751936,44.838398036631084,0.3447788094832777,13.81266,0.88210964,0.0,0.9925725,13
29278792888448,45.14998387763677,0.44325863013249694,12.472704,0.8391619,0.08086285,1.1852086,16
35596688952320,45.35658668910957,0.3452306564603247,12.701134,0.66062164,0.16984951,1.7935671,14
37318971664640,45.33981017654825,0.43184511085318783,13.810619,1.0054827,0.062077925,1.1601732,14
38693361197568,45.40784599738709,0.4530893589745901,13.818121,0.8514118,0.02775589,1.0597801,15
38693361197824,45.406929337688716,0.4515441683298902,13.598927,0.8521528,0.0,0.9879966,15
42335493463424,45.39623368786133,0.4911491231379768,13.546184,0.90420914,0.0,0.9237478,16
42919609016576,45.319795145959716,0.5061543314266037,12.505317,0.8307781,0.067755766,1.1246433,14
43366285614592,45.29496453715501,0.5404473757375388,13.071418,1.0478439,0.694252,5.8589096,15
45324790696192,45.50586902826179,0.5284512072371333,12.841108,0.8916607,0.06647419,1.0080898,16
