source_id,ra,dec,phot_g_mean_mag,bp_rp,astrometric_excess_noise,ruwe,visibility_periods_used
4295806720,44.99615537864534,0.005615226341865997,17.641426,1.0190029,0.3806193,1.1429516,16
34361129088,45.00432028915398,0.021047763781174733,17.571619,2.4582462,0.26741344,1.0578898,15
38655544960,45.004978371745516,0.019879675701858644,14.128453,1.2922335,0.0,1.012191,15
309238066432,44.99503714416301,0.03815169755425531,19.612204,2.3467846,0.0,0.98569405,16
343597448960,44.96389626549711,0.04359494367771267,18.135033,1.2704048,0.0,0.97897136,15
515396233856,44.99832707810714,0.0663327072023917,19.433544,1.0177116,1.3335108,1.1791685,15
549755818112,45.04828232129832,0.04825396034378256,14.987767,1.2543354,0.072144866,1.0909767,13
828929527040,45.02361979732255,0.06841876724959775,16.580168,1.42451,0.0,1.0349011,15
927713095040,45.02672698087207,0.08169947826793385,19.376617,1.9160385,0.8263916,1.0942938,14
966367933184,45.039080477403814,0.08685485276440565,19.9738,2.493969,0.0,0.9514274,16
1099511693312,44.96654617792031,0.046308658367763794,19.268074,1.4101238,0.23898672,1.0614251,16
1275606125952,44.993270784169155,0.07633404499591856,16.23627,1.0177488,0.0679066,1.0098441,15
1340029955712,44.96907662980059,0.08442520281043711,17.778534,1.2566853,0.20859814,1.0540165,16
1340029956224,44.97846156970949,0.09257928817288391,18.615105,1.39295,0.0,1.01981,15
1374389600384,44.932802106149424,0.06480894307270345,18.364864,2.4424076,0.0,0.9086372,16
1511828647680,44.95265152874727,0.08495205087426602,19.208694,0.76984406,0.0,0.94457185,16
1619203481984,44.95115803041135,0.10531247613400328,17.877853,2.4646053,0.2717901,0.9937619,16
1653563247744,44.99606230474708,0.08491778897415135,16.148806,0.7542982,0.099841915,1.0308149,16
1683627775360,45.013788337793514,0.08773432698874072,19.790447,2.8023987,0.0,0.96900415,16
1717987078400,44.98309734471892,0.09640645832988629,18.650064,2.6976051,0.20050569,0.9159248,16
1752346816896,45.00504137480298,0.10193356019856178,19.07047,2.0861473,0.0,0.9940326,16
2199023259904,45.09557911090586,0.08530645477422595,18.248137,0.9616852,0.73026425,1.1690102,16
2336462213888,45.10466381068629,0.09851674966823669,19.057476,0.7886448,0.0,0.97429246,16
2405181690752,45.09616897803203,0.10542177597903518,19.704985,2.0802002,1.1106389,1.0760256,16
2546916445184,45.05702843457773,0.11498172278883387,17.860052,1.0545597,0.0,1.0054116,15
2748779106176,45.1404854508547,0.12084510799934471,19.702456,2.0672245,1.1526166,1.0788702,13
2753074326400,45.12196996122289,0.12168350048630153,19.989595,2.2815895,1.162952,1.0328494,14
2821794351744,45.124152453120615,0.13677852527701542,18.02208,2.3624954,11.945554,,12
2920577765120,45.16465301804705,0.15450004311408183,15.303216,0.91989803,0.0,1.0649366,13
2989297243520,45.15177931650934,0.15411389203163744,19.893806,1.0131664,0.6229784,1.1018,11
2989297243776,45.14638633341736,0.16035347705833,17.885675,2.333805,0.3287652,1.0212266,13
3062312520192,45.116651051406684,0.14472045066687067,15.18222,0.9050627,0.10433461,1.060455,13
3371550165888,45.033604633031075,0.12854885339664812,14.56154,1.1957464,0.70002925,3.8084145,16
3508989119232,45.05595381188336,0.14611201290768125,15.161536,0.9886484,0.0,0.8712435,16
3607772690688,45.03182509995005,0.14417619353633873,18.99446,1.9779243,0.0,1.0224324,16
3676493398016,45.0199545938051,0.16376864324903548,19.45149,3.110571,0.5649275,1.0062387,15
3745211647360,45.06163836126676,0.17097450493568306,19.234808,2.2248306,0.89277023,1.0601393,12
3917010338944,45.08367987809025,0.16935464897837366,17.389402,1.5512524,0.0,1.043557,13
4230543624320,45.06347956342319,0.1956514390070961,15.7034445,0.8950043,0.0,1.0064017,12
4539781243776,44.933257274292,0.0944691066746788,19.722303,1.9906406,1.4947625,1.1031716,15
