source_id,ra,dec,phot_g_mean_mag,bp_rp,astrometric_excess_noise
1152921504607103872,224.99763461186598,0.004662322480062698,17.803389,2.3464375,0.0
1152921611981790336,225.00318645518033,0.034212002066998454,16.564442,1.4387426,0.11536164
1152921642046057600,225.01725207664146,0.031173074881935294,17.96442,1.1385765,0.13807458
1152921646341528576,225.0298806737716,0.02963058150960117,16.730392,0.76883507,0.20626578
1152921676405542912,225.02856508375135,0.03255618855271846,18.626148,0.8457165,0.0
1152921676405543040,225.0381685686524,0.03642007877786385,18.658978,3.1509,0.18666023
1152921676405543168,225.03845655356787,0.03968873980167128,19.526005,1.7163868,0.0
1152921715061005696,225.00625684093683,0.042436471397097976,15.597105,1.038682,0.0
1152921745125274112,225.0212570363653,0.05483142064503818,18.038414,0.7382202,0.20911226
1152921882564226432,224.9751807626325,0.041226769944577066,19.630518,2.0456142,0.0
1152921921219436032,225.00205600681574,0.05129344421731854,19.528244,1.7246647,0.0
1152921951283704576,225.01027611394372,0.056829683612844045,19.67686,2.058052,0.0
1152922020003181824,224.9957901345591,0.06342231614782305,19.999428,0.5863285,1.2810333
1152922020003182080,224.9966192183433,0.06634158625763292,18.595596,1.9016972,0.37947217
1152922020003182848,224.9988389786726,0.07127694842798636,16.983028,0.8663006,0.16193327
1152922088722403840,225.04644246426716,0.054932123810659164,18.764633,1.213211,0.29682273
1152922157441879680,225.0481723328312,0.06810902850438486,14.140375,1.2285786,0.044884082
1152922226161357696,225.08141926736795,0.06984462044670538,19.541122,1.9338474,0.0
1152922226161357952,225.0781177178426,0.07580029451094433,17.56102,0.85658455,0.0
1152922230457081088,225.08113424017034,0.07891238625345556,19.566748,1.5339413,1.0929487
1152922329240827648,225.01866585209473,0.06722395786848355,19.9551,0.7673893,1.0324701
1152922501039520512,225.0527678269823,0.0866061401742988,19.254274,2.141327,0.8891056
1152922501040029056,225.0605477682901,0.09326911345839613,19.896358,2.48427,1.4822552
1152922638478471808,224.96370920220596,0.05564633950676357,19.17725,1.5318508,0.0
1152922775917426688,224.98498821175892,0.07117684607446,19.809498,0.6863899,0.0
1152922775917427072,224.99307823556603,0.07387867995850105,18.270983,2.6183472,0.0
1152922775917427200,224.98713023145356,0.0782638401483567,19.33716,1.798132,0.68970364
1152922775917934336,224.99380170127995,0.07891511893427076,19.719307,1.9496346,0.0
1152922844636904448,224.97544977379715,0.08972231785181747,17.869926,0.9127426,0.0
1152922878996496128,224.93099772234268,0.0623250374213006,19.959707,0.68372726,1.2562562
1152922878996496256,224.9315029175868,0.06429282922586431,19.973633,0.6598873,0.0
1152922913356235136,224.94280517414285,0.07847326474197405,18.858616,2.9129028,0.0
1152923050795334784,224.96595092748453,0.09031024634116154,17.67997,0.8590946,0.0
1152923050795335168,224.96546256039807,0.09305873401679278,18.293612,0.8640652,0.0
1152923085155073664,224.9464672734841,0.09254970838714886,19.18169,0.9017639,0.0
1152923085155073792,224.94438019742097,0.09464569936944532,18.651691,1.0305882,0.0
1152923119514813056,224.95132346453994,0.10582318648578064,19.124592,1.0576153,0.0
1152923192529756800,225.00211823446418,0.0914866361528565,16.229626,1.1767311,0.0
1152923256953765760,224.99683283179397,0.09664339188264882,19.753004,1.4520493,0.0
1152923291313504640,225.02989933094796,0.10220237896245209,19.871046,1.515192,1.3725295
